Date,Country,Exchange rate
1989-09-13,Australia,1.2881617931212161
1989-09-14,Australia,1.2899896800825594
1989-09-15,Australia,1.2944983818770228
1989-09-18,Australia,1.289324394017535
1989-09-19,Australia,1.2899896800825594
1989-09-20,Australia,1.2903225806451613
1989-09-21,Australia,1.2948336138806165
1989-09-22,Australia,1.276650070215754
1989-09-25,Australia,1.2650221378874131
1989-09-26,Australia,1.2658227848101264
1989-09-27,Australia,1.2779552715654952
1989-09-28,Australia,1.2889920082495487
1989-09-29,Australia,1.2906556530717603
1989-10-02,Australia,1.2865045670912132
1989-10-03,Australia,1.2856775520699408
1989-10-04,Australia,1.2873326467559216
1989-10-05,Australia,1.2861736334405145
1989-10-06,Australia,1.278281989006775
1989-10-09,Australia,
1989-10-10,Australia,1.287995878413189
1989-10-11,Australia,1.2894906511927788
1989-10-12,Australia,1.3017443374121322
1989-10-13,Australia,1.3015749056358195
1989-10-16,Australia,1.3126804935678655
1989-10-17,Australia,1.3024225058609011
1989-10-18,Australia,1.2975217334890359
1989-10-19,Australia,1.2894906511927788
1989-10-20,Australia,1.2958403524685758
1989-10-23,Australia,1.2980269989615785
1989-10-24,Australia,1.3070186903672723
1989-10-25,Australia,1.292156609381057
1989-10-26,Australia,1.2850167052171677
1989-10-27,Australia,1.2861736334405145
1989-10-30,Australia,1.2769761205465457
1989-10-31,Australia,1.2777919754663942
1989-11-01,Australia,1.2800819252432156
1989-11-02,Australia,1.2823800974608874
1989-11-03,Australia,1.2825445684237529
1989-11-06,Australia,1.2797542871768621
1989-11-07,Australia,1.2745347947998982
1989-11-08,Australia,1.2733987011333248
1989-11-09,Australia,1.2672665061462425
1989-11-10,Australia,1.272426517368622
1989-11-13,Australia,1.2669453946534905
1989-11-14,Australia,1.2704865963664083
1989-11-15,Australia,1.2764871074802144
1989-11-16,Australia,1.2807377049180326
1989-11-17,Australia,1.2779552715654952
1989-11-20,Australia,1.2799180852425445
1989-11-21,Australia,1.2865045670912132
1989-11-22,Australia,1.2884937508053085
1989-11-23,Australia,
1989-11-24,Australia,1.2768130745658834
1989-11-27,Australia,1.2745347947998982
1989-11-28,Australia,1.2717792191275594
1989-11-29,Australia,1.2810658467845248
1989-11-30,Australia,1.2779552715654952
1989-12-01,Australia,1.282051282051282
1989-12-04,Australia,1.2805736970162631
1989-12-05,Australia,1.2795905310300704
1989-12-06,Australia,1.2769761205465457
1989-12-07,Australia,1.2794268167860798
1989-12-08,Australia,1.2779552715654952
1989-12-11,Australia,1.2761613067891782
1989-12-12,Australia,1.2717792191275594
1989-12-13,Australia,1.273560876209883
1989-12-14,Australia,1.2738853503184713
1989-12-15,Australia,1.2759984688018375
1989-12-18,Australia,1.2763241863433312
1989-12-19,Australia,1.2733987011333248
1989-12-20,Australia,1.2706480304955527
1989-12-21,Australia,1.2716174974567651
1989-12-22,Australia,1.2682308180088777
1989-12-25,Australia,
